scenario,N,metric,reference,comparator,n_pairs,mean_paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_W,p_two_sided,p_signflip,p_holm,p_signflip_holm
hotspot,400,K,lns_based,pso_high_12x16,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
hotspot,400,p5_rate_Mbps,lns_based,pso_high_12x16,30,7.416579649999999,6.575123688766665,8.196351091066665,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
corridor,400,coverage,lns_based,block_centroid,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
corridor,400,K,lns_based,block_centroid,30,-16.266666666666666,-16.633333333333333,-15.833333333333334,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
corridor,400,p5_rate_Mbps,lns_based,block_centroid,30,5.498608040333335,4.856531933041667,6.085159768408333,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
corridor,400,coverage,lns_based,lns_no_refine,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
corridor,400,K,lns_based,lns_no_refine,30,0.3,-0.3,0.9333333333333333,119.0,0.36562441193397555,0.4090918181636367,1.0,1.0
corridor,400,p5_rate_Mbps,lns_based,lns_no_refine,30,4.4697001929999995,3.5379046339833335,5.413636565341666,6.0,2.60770320892334e-08,1.999960000799984e-05,9.126961231231689e-07,0.0009599808003839924
corridor,400,coverage,lns_based,fixed_initializer_refine,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
corridor,400,K,lns_based,fixed_initializer_refine,30,-16.266666666666666,-16.633333333333333,-15.833333333333334,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
corridor,400,p5_rate_Mbps,lns_based,fixed_initializer_refine,30,1.078624168,0.40301250265833344,1.6843528064999995,85.0,0.001718590036034584,0.003619927601447971,0.04124616086483002,0.07239855202895942
corridor,400,coverage,lns_based,pso_high_12x16,30,0.013916666666666652,0.008999999999999985,0.019166666666666655,0.0,2.6158739805529553e-05,1.999960000799984e-05,0.0008632384135824752,0.0009599808003839924
corridor,400,K,lns_based,pso_high_12x16,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
corridor,400,p5_rate_Mbps,lns_based,pso_high_12x16,30,12.392713356666665,11.769367660208335,12.979103340666668,0.0,1.862645149230957e-09,1.999960000799984e-05,8.940696716308594e-08,0.0009599808003839924
