scenario,N,method,metric,mean,sd,ci95_low,ci95_high
corridor,400,alns_sca_lite,throughput_Mbps,13545.429,621.60206,13313.345,13777.513
corridor,400,alns_sca_lite,mean_user_rate_Mbps,33.863573,1.5540052,33.283363,34.443783
corridor,400,alns_sca_lite,p5_rate_Mbps,13.298921,1.8019238,12.626147,13.971695
corridor,400,alns_sca_lite,qos_violation,0,0,0,0
corridor,400,alns_sca_lite,jain_fairness,0.81140854,0.02323141,0.80273476,0.82008232
corridor,400,alns_sca_lite,time_s,0.12466667,0.0044824049,0.1229931,0.12634024
corridor,400,fixed_gno_refine,coverage,1,0,1,1
corridor,400,fixed_gno_refine,K,40,0,40,40
corridor,400,fixed_gno_refine,throughput_Mbps,9358.1326,267.59084,9258.2238,9458.0415
corridor,400,fixed_gno_refine,mean_user_rate_Mbps,23.395332,0.66897711,23.145559,23.645104
corridor,400,fixed_gno_refine,p5_rate_Mbps,12.220297,0.43944449,12.056224,12.38437
corridor,400,fixed_gno_refine,qos_violation,0,0,0,0
corridor,400,fixed_gno_refine,jain_fairness,0.83384261,0.020851729,0.82605732,0.8416279
corridor,400,fixed_gno_refine,time_s,0.062,0.0025596336,0.061044324,0.062955676
corridor,400,gno,coverage,1,0,1,1
corridor,400,gno,K,40,0,40,40
corridor,400,gno,throughput_Mbps,5176.61,167.8476,5113.9417,5239.2783
corridor,400,gno,mean_user_rate_Mbps,12.941525,0.419619,12.784854,13.098196
corridor,400,gno,p5_rate_Mbps,7.8003128,0.4292469,7.6400474,7.9605782
corridor,400,gno,qos_violation,0,0,0,0
corridor,400,gno,jain_fairness,0.88354941,0.030401413,0.87219861,0.89490021
corridor,400,gno,time_s,0.0061666667,0.00053066863,0.005968534,0.0063647993
corridor,400,kmeans_grid,coverage,0.90408333,0.03445689,0.89121836,0.9169483
corridor,400,kmeans_grid,K,20,0,20,20
corridor,400,kmeans_grid,throughput_Mbps,13525.197,675.97833,13272.811,13777.583
corridor,400,kmeans_grid,mean_user_rate_Mbps,33.812993,1.6899458,33.182028,34.443958
corridor,400,kmeans_grid,p5_rate_Mbps,0.034860818,0.13277661,-0.014713216,0.084434851
corridor,400,kmeans_grid,qos_violation,0.095916667,0.03445689,0.083051697,0.10878164
corridor,400,kmeans_grid,jain_fairness,0.66634161,0.043371974,0.65014807,0.68253515
corridor,400,kmeans_grid,time_s,0.0053666667,0.00066867514,0.0051170073,0.005616326
corridor,400,pso_high_12x16,coverage,0.98608333,0.014602246,0.98063138,0.99153529
corridor,400,pso_high_12x16,K,23.733333,1.1121068,23.318112,24.148554
corridor,400,pso_high_12x16,throughput_Mbps,3115.2945,463.59634,2942.2042,3288.3847
corridor,400,pso_high_12x16,mean_user_rate_Mbps,7.7882361,1.1589908,7.3555104,8.2209618
corridor,400,pso_high_12x16,p5_rate_Mbps,0.90620749,0.36957414,0.76822174,1.0441932
corridor,400,pso_high_12x16,qos_violation,0.013916667,0.014602246,0.0084647108,0.019368623
corridor,400,pso_high_12x16,jain_fairness,0.49939888,0.087863892,0.46659365,0.53220411
corridor,400,pso_high_12x16,time_s,0.48366667,0.048123643,0.46569902,0.50163431
corridor,400,pso_low_3x4,coverage,0.87958333,0.042115826,0.86385879,0.89530788
corridor,400,pso_low_3x4,K,23.733333,1.1121068,23.318112,24.148554
corridor,400,pso_low_3x4,throughput_Mbps,3006.4527,415.2533,2851.412,3161.4934
corridor,400,pso_low_3x4,mean_user_rate_Mbps,7.5161317,1.0381333,7.1285299,7.9037335
corridor,400,pso_low_3x4,p5_rate_Mbps,0.01704012,0.093332579,-0.017806925,0.051887164
corridor,400,pso_low_3x4,qos_violation,0.12041667,0.042115826,0.10469212,0.13614121
corridor,400,pso_low_3x4,jain_fairness,0.41725891,0.083558799,0.38606104,0.44845677
corridor,400,pso_low_3x4,time_s,0.0337,0.0031529953,0.032522784,0.034877216
corridor,400,pso_mid_6x8,coverage,0.94358333,0.029940194,0.93240474,0.95476193
corridor,400,pso_mid_6x8,K,23.733333,1.1121068,23.318112,24.148554
corridor,400,pso_mid_6x8,throughput_Mbps,2912.9763,594.64287,2690.9579,3134.9946
corridor,400,pso_mid_6x8,mean_user_rate_Mbps,7.2824406,1.4866072,6.7273947,7.8374866
