factor,level,seed,coverage,K,throughput_Mbps,p5_rate_Mbps,jain_fairness,time_s
fleet_cost_lambda_k,100,20017,1.00000000,31,5331.33551290,2.00072586,0.54950919,0.08700000
fleet_cost_lambda_k,100,20018,1.00000000,26,25359.36927115,17.32667205,0.78393757,0.07600000
fleet_cost_lambda_k,100,20019,1.00000000,30,8047.87073370,2.22062670,0.57198344,0.08400000
fleet_cost_lambda_k,100,20020,1.00000000,24,9295.29202823,3.98308645,0.58532460,0.08000000
fleet_cost_lambda_k,100,20021,1.00000000,28,26838.11607076,17.33272785,0.77394815,0.07700000
fleet_cost_lambda_k,100,20022,1.00000000,30,9567.99704118,2.94899859,0.60567742,0.08100000
fleet_cost_lambda_k,100,20023,1.00000000,28,17919.61862167,8.63787735,0.66743724,0.07400000
fleet_cost_lambda_k,100,20024,0.99750000,33,5440.73419882,1.39687031,0.53979721,0.09100000
fleet_cost_lambda_k,100,20025,1.00000000,27,5093.85568473,3.34495765,0.50781802,0.08000000
fleet_cost_lambda_k,100,20026,1.00000000,26,5644.33695746,1.73413372,0.49414915,0.08500000
fleet_cost_lambda_k,100,20027,1.00000000,28,6410.27061814,3.19907367,0.49272753,0.07800000
fleet_cost_lambda_k,100,20028,1.00000000,29,14652.88168147,8.22142140,0.70401103,0.07900000
fleet_cost_lambda_k,100,20029,1.00000000,28,11132.15256508,3.89930739,0.64390147,0.07600000
fleet_cost_lambda_k,400,20000,0.99750000,24,4240.75833325,1.29576366,0.65212717,0.07700000
fleet_cost_lambda_k,400,20001,1.00000000,26,4866.71971953,1.49915636,0.47757837,0.07700000
fleet_cost_lambda_k,400,20002,1.00000000,24,4423.53894131,1.93518097,0.63991688,0.08000000
fleet_cost_lambda_k,400,20003,0.99000000,26,6293.81663297,1.45834224,0.46483927,0.08000000
fleet_cost_lambda_k,400,20004,1.00000000,25,19244.42337918,8.25201104,0.68181925,0.07300000
fleet_cost_lambda_k,400,20005,0.99750000,32,10192.57920653,2.74560057,0.58558610,0.08800000
fleet_cost_lambda_k,400,20006,1.00000000,30,7836.48130641,2.71310974,0.58021541,0.08300000
fleet_cost_lambda_k,400,20007,0.99250000,26,24709.46707706,12.27827471,0.73064041,0.08100000
fleet_cost_lambda_k,400,20008,1.00000000,24,8985.68258135,2.63355294,0.61147251,0.07400000
fleet_cost_lambda_k,400,20009,1.00000000,23,4512.97289468,1.64575602,0.52720551,0.07500000
fleet_cost_lambda_k,400,20010,1.00000000,24,18343.91800821,2.95804886,0.62887559,0.06900000
fleet_cost_lambda_k,400,20011,1.00000000,24,8589.52885184,3.24526595,0.58058476,0.07800000
fleet_cost_lambda_k,400,20012,1.00000000,26,8493.07778892,1.96314759,0.53426359,0.07700000
fleet_cost_lambda_k,400,20013,1.00000000,23,4987.34861346,1.44183900,0.45329068,0.07800000
fleet_cost_lambda_k,400,20014,1.00000000,26,11534.40551444,2.39021982,0.65722241,0.07800000
fleet_cost_lambda_k,400,20015,1.00000000,24,8730.95123588,1.96538666,0.55412313,0.08100000
fleet_cost_lambda_k,400,20016,1.00000000,28,9321.55918147,1.49057437,0.55770914,0.07900000
fleet_cost_lambda_k,400,20017,1.00000000,30,5042.03497010,2.00778130,0.56575554,0.08200000
fleet_cost_lambda_k,400,20018,1.00000000,25,25295.09410333,15.01553400,0.78279418,0.07700000
fleet_cost_lambda_k,400,20019,1.00000000,28,8132.95239545,2.06094087,0.54866245,0.08000000
fleet_cost_lambda_k,400,20020,0.99750000,24,9917.91527563,1.90960239,0.56237327,0.08100000
fleet_cost_lambda_k,400,20021,1.00000000,27,24110.94980435,12.33260103,0.73027680,0.07500000
fleet_cost_lambda_k,400,20022,1.00000000,30,9015.68338979,2.94899859,0.57588230,0.08500000
fleet_cost_lambda_k,400,20023,1.00000000,28,17757.70605187,9.40381399,0.66590334,0.07600000
fleet_cost_lambda_k,400,20024,0.99750000,33,5224.72987263,1.37859508,0.53101138,0.09200000
fleet_cost_lambda_k,400,20025,1.00000000,25,4644.53879375,2.36495994,0.52710388,0.07900000
fleet_cost_lambda_k,400,20026,1.00000000,26,5644.33695746,1.73413372,0.49414915,0.08200000
fleet_cost_lambda_k,400,20027,1.00000000,26,6102.39954900,3.25845751,0.52131304,0.07700000
fleet_cost_lambda_k,400,20028,1.00000000,26,11087.97908845,2.97466383,0.62743188,0.07600000
fleet_cost_lambda_k,400,20029,1.00000000,25,10878.21640673,3.12180085,0.63098655,0.08000000
altitude_hmax_m,80,20000,1.00000000,27,25467.56452493,17.38410178,0.78992381,0.07100000
