scenario,N,seed,method,coverage,K,throughput_Mbps,mean_user_rate_Mbps,p5_rate_Mbps,qos_violation,jain_fairness,time_s
four_cluster,100,10012,alns_no_refine,1.00000000,6,4398.43325053,43.98433251,2.32290617,0.00000000,0.60381855,0.01000000
four_cluster,100,10012,fixed_gno_refine,1.00000000,10,8198.53585569,81.98535856,21.22849715,0.00000000,0.74838382,0.01800000
four_cluster,100,10012,alns_sca_lite,1.00000000,7,6652.76650521,66.52766505,17.43376081,0.00000000,0.68516757,0.02400000
four_cluster,100,10012,pso_low_3x4,1.00000000,7,7202.18577635,72.02185776,5.91088705,0.00000000,0.59452383,0.00600000
four_cluster,100,10012,pso_mid_6x8,1.00000000,7,6690.36469808,66.90364698,16.92975479,0.00000000,0.54873346,0.02800000
four_cluster,100,10012,pso_high_12x16,1.00000000,7,11366.34429895,113.66344299,12.74575126,0.00000000,0.54285000,0.09800000
four_cluster,100,10013,kmeans_grid,0.89000000,5,11223.30472286,112.23304723,0.00000000,0.11000000,0.63056533,0.00200000
four_cluster,100,10013,gno,1.00000000,10,3066.72498255,30.66724983,8.58095870,0.00000000,0.56691553,0.00100000
four_cluster,100,10013,alns_no_refine,1.00000000,6,3552.31017860,35.52310179,1.86368162,0.00000000,0.54409641,0.01000000
four_cluster,100,10013,fixed_gno_refine,1.00000000,10,3066.72498255,30.66724983,8.58095870,0.00000000,0.56691553,0.01700000
four_cluster,100,10013,alns_sca_lite,1.00000000,7,3577.06435651,35.77064357,4.16100567,0.00000000,0.54520166,0.02400000
four_cluster,100,10013,pso_low_3x4,1.00000000,7,7214.58287346,72.14582873,14.85976787,0.00000000,0.66730093,0.00700000
four_cluster,100,10013,pso_mid_6x8,1.00000000,7,8331.06003800,83.31060038,8.29690504,0.00000000,0.58108546,0.02000000
four_cluster,100,10013,pso_high_12x16,1.00000000,7,10518.16127968,105.18161280,14.10882899,0.00000000,0.48990817,0.06700000
four_cluster,100,10014,kmeans_grid,0.90000000,5,10391.11349949,103.91113499,0.00000000,0.10000000,0.60069253,0.00200000
four_cluster,100,10014,gno,1.00000000,10,3278.70036492,32.78700365,1.82322026,0.00000000,0.70013671,0.00100000
four_cluster,100,10014,alns_no_refine,1.00000000,7,3720.80023964,37.20800240,1.17998269,0.00000000,0.60515562,0.01400000
four_cluster,100,10014,fixed_gno_refine,1.00000000,10,8649.11921371,86.49119214,19.89572503,0.00000000,0.77803514,0.01800000
four_cluster,100,10014,alns_sca_lite,1.00000000,6,6341.98646668,63.41986467,20.69819980,0.00000000,0.67042539,0.02500000
four_cluster,100,10014,pso_low_3x4,1.00000000,6,6449.21108052,64.49211081,5.22865664,0.00000000,0.43885428,0.00500000
four_cluster,100,10014,pso_mid_6x8,1.00000000,6,6668.77768702,66.68777687,21.07182472,0.00000000,0.75396915,0.01800000
four_cluster,100,10014,pso_high_12x16,1.00000000,6,7139.97973149,71.39979731,13.62511021,0.00000000,0.52011654,0.08500000
four_cluster,100,10015,kmeans_grid,0.93000000,5,9587.99955572,95.87999556,0.00000000,0.07000000,0.69803650,0.00200000
four_cluster,100,10015,gno,1.00000000,10,2942.96777916,29.42967779,9.57909802,0.00000000,0.55918010,0.00100000
four_cluster,100,10015,alns_no_refine,1.00000000,8,3397.45777209,33.97457772,2.56926582,0.00000000,0.54163753,0.01000000
four_cluster,100,10015,fixed_gno_refine,1.00000000,10,7811.45585848,78.11455858,20.58855011,0.00000000,0.75571665,0.01600000
four_cluster,100,10015,alns_sca_lite,1.00000000,8,8032.15749583,80.32157496,21.61414597,0.00000000,0.71701099,0.01900000
four_cluster,100,10015,pso_low_3x4,1.00000000,8,6303.45327905,63.03453279,10.99748057,0.00000000,0.52590437,0.00700000
four_cluster,100,10015,pso_mid_6x8,1.00000000,8,5828.67796236,58.28677962,13.37624265,0.00000000,0.48859299,0.02800000
four_cluster,100,10015,pso_high_12x16,1.00000000,8,7001.70573149,70.01705731,19.64827878,0.00000000,0.64508382,0.10300000
four_cluster,100,10016,kmeans_grid,0.86000000,5,10361.45788811,103.61457888,0.00000000,0.14000000,0.53412973,0.00200000
four_cluster,100,10016,gno,1.00000000,10,3311.65521298,33.11655213,2.52689339,0.00000000,0.61388235,0.00100000
four_cluster,100,10016,alns_no_refine,1.00000000,6,4339.41360382,43.39413604,1.43403693,0.00000000,0.55547423,0.01000000
four_cluster,100,10016,fixed_gno_refine,1.00000000,10,9496.49970407,94.96499704,20.64175125,0.00000000,0.78052542,0.01400000
four_cluster,100,10016,alns_sca_lite,1.00000000,7,8549.90216940,85.49902169,13.34466698,0.00000000,0.67079331,0.02100000
four_cluster,100,10016,pso_low_3x4,1.00000000,7,3685.74543346,36.85745433,15.25250507,0.00000000,0.65739370,0.00600000
four_cluster,100,10016,pso_mid_6x8,1.00000000,7,7920.27111339,79.20271113,8.60484936,0.00000000,0.50869176,0.02100000
four_cluster,100,10016,pso_high_12x16,1.00000000,7,9702.88090314,97.02880903,11.84935904,0.00000000,0.58099266,0.09400000
four_cluster,100,10017,kmeans_grid,0.94000000,5,9832.36152338,98.32361523,0.00000000,0.06000000,0.63394391,0.00400000
four_cluster,100,10017,gno,1.00000000,10,2799.70499409,27.99704994,2.49405475,0.00000000,0.60705438,0.00500000
four_cluster,100,10017,alns_no_refine,1.00000000,7,3107.68812619,31.07688126,1.51449174,0.00000000,0.60561766,0.01300000
four_cluster,100,10017,fixed_gno_refine,1.00000000,10,8646.07359005,86.46073590,19.81029597,0.00000000,0.76961591,0.02200000
four_cluster,100,10017,alns_sca_lite,1.00000000,6,5345.46319460,53.45463195,5.46538583,0.00000000,0.65839463,0.02400000
four_cluster,100,10017,pso_low_3x4,0.99000000,6,6507.99273693,65.07992737,1.92185775,0.01000000,0.53484210,0.00700000
four_cluster,100,10017,pso_mid_6x8,1.00000000,6,9437.73514435,94.37735144,14.23675320,0.00000000,0.48489570,0.02300000
four_cluster,100,10017,pso_high_12x16,1.00000000,6,8745.58973729,87.45589737,17.51556644,0.00000000,0.47429550,0.13500000
four_cluster,100,10018,kmeans_grid,0.95000000,5,9866.26420765,98.66264208,0.00000000,0.05000000,0.64109586,0.00200000
four_cluster,100,10018,gno,1.00000000,10,2974.80243404,29.74802434,7.72364459,0.00000000,0.55822082,0.00200000
four_cluster,100,10018,alns_no_refine,1.00000000,7,3840.58136750,38.40581368,9.68210974,0.00000000,0.59071378,0.01500000
four_cluster,100,10018,fixed_gno_refine,1.00000000,10,8439.22605753,84.39226058,17.53759914,0.00000000,0.75445359,0.02700000
four_cluster,100,10018,alns_sca_lite,1.00000000,7,7727.62621830,77.27626218,20.88242290,0.00000000,0.73259534,0.03300000
four_cluster,100,10018,pso_low_3x4,1.00000000,7,4911.18300457,49.11183005,8.45172841,0.00000000,0.58728972,0.01000000
four_cluster,100,10018,pso_mid_6x8,1.00000000,7,6720.69439129,67.20694391,11.22761945,0.00000000,0.61277938,0.03600000
four_cluster,100,10018,pso_high_12x16,1.00000000,7,9501.15858303,95.01158583,9.61164249,0.00000000,0.65295093,0.12800000
four_cluster,100,10019,kmeans_grid,0.89000000,5,10066.15264100,100.66152641,0.00000000,0.11000000,0.61436617,0.00200000
four_cluster,100,10019,gno,1.00000000,10,2493.58638984,24.93586390,12.93645905,0.00000000,0.66359394,0.00200000
four_cluster,100,10019,alns_no_refine,1.00000000,6,3581.35018033,35.81350180,3.56718304,0.00000000,0.58360439,0.01000000
four_cluster,100,10019,fixed_gno_refine,1.00000000,10,7741.16615130,77.41166151,16.54715656,0.00000000,0.75526484,0.01900000
four_cluster,100,10019,alns_sca_lite,1.00000000,6,9070.84644712,90.70846447,19.72711541,0.00000000,0.71111500,0.02400000
four_cluster,100,10019,pso_low_3x4,0.95000000,6,4907.08055012,49.07080550,0.00000000,0.05000000,0.53844804,0.00500000
four_cluster,100,10019,pso_mid_6x8,1.00000000,6,5449.24250664,54.49242507,2.79142091,0.00000000,0.54145362,0.02200000
four_cluster,100,10019,pso_high_12x16,1.00000000,6,8063.19110184,80.63191102,19.13987533,0.00000000,0.49452625,0.08000000
four_cluster,100,10020,kmeans_grid,0.91000000,5,12108.97928934,121.08979289,0.00000000,0.09000000,0.66424849,0.00100000
four_cluster,100,10020,gno,1.00000000,10,2748.75740717,27.48757407,8.55434081,0.00000000,0.73290688,0.00400000
four_cluster,100,10020,alns_no_refine,1.00000000,6,4808.89576043,48.08895760,5.02855144,0.00000000,0.62260075,0.00900000
four_cluster,100,10020,fixed_gno_refine,1.00000000,10,8802.56896731,88.02568967,16.27370793,0.00000000,0.72432932,0.01500000
four_cluster,100,10020,alns_sca_lite,1.00000000,6,9600.86139650,96.00861397,17.78683805,0.00000000,0.59537495,0.02100000
four_cluster,100,10020,pso_low_3x4,0.99000000,6,3955.74777219,39.55747772,5.33725387,0.01000000,0.39137789,0.00700000
four_cluster,100,10020,pso_mid_6x8,1.00000000,6,6411.17566487,64.11175665,10.85064882,0.00000000,0.66956798,0.02100000
four_cluster,100,10020,pso_high_12x16,1.00000000,6,9447.96387170,94.47963872,15.66022109,0.00000000,0.49672965,0.07700000
four_cluster,100,10021,kmeans_grid,0.94000000,5,10230.89105674,102.30891057,0.00000000,0.06000000,0.64394437,0.00200000
four_cluster,100,10021,gno,0.98000000,10,2924.35875644,29.24358756,2.96912223,0.02000000,0.51997575,0.00300000
four_cluster,100,10021,alns_no_refine,0.98000000,6,3344.07870435,33.44078704,2.35092081,0.02000000,0.50785579,0.01200000
four_cluster,100,10021,fixed_gno_refine,1.00000000,10,6824.53971216,68.24539712,15.29640087,0.00000000,0.66764553,0.02400000
four_cluster,100,10021,alns_sca_lite,1.00000000,6,7779.62754609,77.79627546,18.58866018,0.00000000,0.62877527,0.03100000
four_cluster,100,10021,pso_low_3x4,0.98000000,6,5778.24650917,57.78246509,0.71181432,0.02000000,0.60351746,0.00800000
four_cluster,100,10021,pso_mid_6x8,1.00000000,6,7816.11971610,78.16119716,1.39708545,0.00000000,0.53919668,0.02400000
four_cluster,100,10021,pso_high_12x16,1.00000000,6,9242.37429088,92.42374291,21.00273769,0.00000000,0.48410442,0.08800000
four_cluster,100,10022,kmeans_grid,0.91000000,5,10401.92165043,104.01921650,0.00000000,0.09000000,0.61712321,0.00200000
four_cluster,100,10022,gno,1.00000000,10,4006.88307972,40.06883080,10.14151469,0.00000000,0.69959225,0.00200000
four_cluster,100,10022,alns_no_refine,1.00000000,7,4078.49355332,40.78493553,4.74396298,0.00000000,0.70239631,0.01300000
four_cluster,100,10022,fixed_gno_refine,1.00000000,10,9582.46851168,95.82468512,23.86742914,0.00000000,0.80772113,0.02100000
four_cluster,100,10022,alns_sca_lite,1.00000000,6,8383.16511711,83.83165117,14.92639607,0.00000000,0.68886539,0.03000000
four_cluster,100,10022,pso_low_3x4,0.99000000,6,6860.88893328,68.60888933,4.80359565,0.01000000,0.41683499,0.00800000
four_cluster,100,10022,pso_mid_6x8,1.00000000,6,7186.36430330,71.86364303,19.06856935,0.00000000,0.64111616,0.02600000
four_cluster,100,10022,pso_high_12x16,1.00000000,6,9288.93114842,92.88931148,14.06145888,0.00000000,0.45751089,0.09400000
four_cluster,100,10023,kmeans_grid,0.86000000,5,10776.76450534,107.76764505,0.00000000,0.14000000,0.57465501,0.00200000
four_cluster,100,10023,gno,1.00000000,10,2406.62822592,24.06628226,4.08810483,0.00000000,0.72327490,0.00200000
four_cluster,100,10023,alns_no_refine,1.00000000,6,3388.39645111,33.88396451,12.73339580,0.00000000,0.64980501,0.01000000
four_cluster,100,10023,fixed_gno_refine,1.00000000,10,8492.82043269,84.92820433,20.96053110,0.00000000,0.79293594,0.02000000
four_cluster,100,10023,alns_sca_lite,1.00000000,6,5875.54675875,58.75546759,10.22089306,0.00000000,0.64616653,0.02600000
four_cluster,100,10023,pso_low_3x4,0.94000000,6,8414.93378393,84.14933784,0.00000000,0.06000000,0.55918914,0.00600000
four_cluster,100,10023,pso_mid_6x8,1.00000000,6,7234.89670557,72.34896706,13.70727939,0.00000000,0.56417391,0.02600000
four_cluster,100,10023,pso_high_12x16,1.00000000,6,8257.57554985,82.57575550,3.55229721,0.00000000,0.46501534,0.08300000
four_cluster,100,10024,kmeans_grid,0.87000000,5,9958.63988437,99.58639884,0.00000000,0.13000000,0.54654074,0.00200000
four_cluster,100,10024,gno,1.00000000,10,2966.57983023,29.66579830,6.19508458,0.00000000,0.43321854,0.00200000
four_cluster,100,10024,alns_no_refine,1.00000000,6,3851.49053666,38.51490537,2.89044454,0.00000000,0.49889231,0.01100000
four_cluster,100,10024,fixed_gno_refine,1.00000000,10,9021.90574025,90.21905740,18.70721215,0.00000000,0.76150624,0.02100000
four_cluster,100,10024,alns_sca_lite,1.00000000,7,5371.25677971,53.71256780,6.32912533,0.00000000,0.44615288,0.02600000
four_cluster,100,10024,pso_low_3x4,1.00000000,7,6752.93452692,67.52934527,11.48986213,0.00000000,0.53591000,0.00900000
four_cluster,100,10024,pso_mid_6x8,1.00000000,7,7383.37329279,73.83373293,10.89213343,0.00000000,0.45848911,0.02400000
four_cluster,100,10024,pso_high_12x16,1.00000000,7,9113.14203439,91.13142034,18.67090573,0.00000000,0.54641751,0.07800000
four_cluster,100,10025,kmeans_grid,0.90000000,5,11033.75967963,110.33759680,0.00000000,0.10000000,0.60561169,0.00100000
four_cluster,100,10025,gno,1.00000000,10,2037.83061762,20.37830618,7.94047050,0.00000000,0.68972897,0.00200000
four_cluster,100,10025,alns_no_refine,1.00000000,7,2228.37896580,22.28378966,4.02445000,0.00000000,0.68890523,0.01000000
four_cluster,100,10025,fixed_gno_refine,1.00000000,10,5583.63980486,55.83639805,12.94959124,0.00000000,0.58491566,0.01500000
four_cluster,100,10025,alns_sca_lite,1.00000000,6,4426.20303998,44.26203040,1.95968793,0.00000000,0.52174557,0.02100000
four_cluster,100,10025,pso_low_3x4,0.93000000,6,5122.01934880,51.22019349,0.00000000,0.07000000,0.58988712,0.00600000
four_cluster,100,10025,pso_mid_6x8,1.00000000,6,8333.97243323,83.33972433,2.69380665,0.00000000,0.52479076,0.02500000
